Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
10000000000.0,1.0,1.0,1.0,20000.0,10.0,480.0,0.05352624311666263,1,1.4027311895063088
,,,,,,,0.0007501570426255144,2,1.3758024680195597
,,,,,,,0.004292251950661778,3,1.3345609670464613
,,,,,,,0.20969991494566914,4,1.2588333649635919
,,,,,,,0.0003440569894748599,5,1.230266898481923
,,,,,,,0.009972012416254958,6,1.214892223518388
,,,,,,,0.022504711278765428,7,1.1903054997913012
,,,,,,,0.0019007738598857014,8,1.1338613474809291
,,,,,,,479.69568,9,1.1022271534131007
,,,,,,,0.0013298784,10,1.0780564577357743
,,,,,,,,11,1.0606445036442387
,,,,,,,,12,1.0329857313639716
,,,,,,,,13,1.033538392946328
,,,,,,,,14,1.0182192961507075
,,,,,,,,15,0.997443905743968
,,,,,,,,16,0.0
,,,,,,,,17,0.0
,,,,,,,,18,0.0
,,,,,,,,19,0.0
,,,,,,,,20,0.0
,,,,,,,,21,0.0
,,,,,,,,22,0.0
,,,,,,,,23,0.0
,,,,,,,,24,0.0
,,,,,,,,25,0.0
,,,,,,,,26,0.0
,,,,,,,,27,0.0
,,,,,,,,28,0.0
,,,,,,,,29,0.0
,,,,,,,,30,0.0
,,,,,,,,31,0.0
,,,,,,,,32,0.0
,,,,,,,,33,0.0
,,,,,,,,34,0.0
,,,,,,,,35,0.0
,,,,,,,,36,0.0
,,,,,,,,37,0.0
,,,,,,,,38,0.0
,,,,,,,,39,0.0
,,,,,,,,40,0.0
,,,,,,,,41,0.0
,,,,,,,,42,0.0
,,,,,,,,43,0.0
,,,,,,,,44,0.0
,,,,,,,,45,0.0
,,,,,,,,46,0.0
,,,,,,,,47,0.0
,,,,,,,,48,0.0
,,,,,,,,49,0.0
,,,,,,,,50,0.0
,,,,,,,,51,0.0
,,,,,,,,52,0.0
,,,,,,,,53,0.0
,,,,,,,,54,0.0
,,,,,,,,55,0.0
,,,,,,,,56,0.0
,,,,,,,,57,0.0
,,,,,,,,58,0.0
